scenario_id,tier,layer,agent,carrier,category,scenario_name,setup_summary,curveball,expected_outcome,expected_behaviors,forbidden_behaviors,harness,automation_ref,status,source,notes
IVR-HP-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-DR-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-CB-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-HO-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-VM-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-DC-green_shield,P0,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-AI-green_shield,P1,ivr,IVR_Navigator,Green Shield Canada,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier green_shield,planned,ivr-validation program,
IVR-HP-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-DR-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-CB-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-HO-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-VM-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-DC-rbc,P0,ivr,IVR_Navigator,RBC Insurance,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-AI-rbc,P1,ivr,IVR_Navigator,RBC Insurance,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier rbc,planned,ivr-validation program,
IVR-HP-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Happy path to live rep,,,Reach human; hand off to Claims_Agent,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-DR-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Menu drift,,,Detect divergence; retry or exit ≤3 loops,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-CB-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Callback offer,,,Log callback; exit; human follow-up,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-FR-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,French / language mismatch,,,Detect; exit; flag languagePreference,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-HO-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Hold music silence,,,No speech during hold,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-VM-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Voicemail,,,End immediately; no message,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-DC-telus_adjudicare,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,Mid-IVR disconnect,,,Failed technical; safe retry,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
IVR-AI-telus_adjudicare,P1,ivr,IVR_Navigator,TELUS AdjudiCare,IVR navigation,AI-screening IVR,,,Press continue appropriately,,,ivr_research_call,research-call.cjs --carrier telus_adjudicare,planned,ivr-validation program,
D001,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Claim 29 days,,,Reject — min 30 days,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D002,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Claim 91 days,,,Reject — human only,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D003,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,4th attempt,,,Reject — max 3,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D004,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,CARRIER_BLOCK active,,,Block all calls to carrier,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D005,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Other carrier not blocked,,,Allow when block is carrier-scoped,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D006,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Carrier not authorized,,,checkCarrierAuthorizationGate,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D007,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,voiceAgentEnabled false,,,No dispatch,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D008,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,Subscription limit hit,,,No dispatch,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D009,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Saturday dial,,,Outside call window,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D010,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,8:00 ET Monday,,,Inside window,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D011,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,APPROVED_PENDING_PAYMENT,,,No carrier dial,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D012,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,TELUS 20 days,,,Reject — min 21 for TELUS config,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D013,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,TELUS 35 days,,,Allow if other gates pass,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D014,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Manual trigger same gates,,,insurance trigger = queue,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D015,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Wrong phone blocked,,,initiateCall allowlist,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D016,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,identifyTelusPlan high confidence,,,TPA in variables,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D017,P1,dispatch,Dispatch / validateDispatch,All,Queue rules,Canada Life portalFirst,,,Portal before voice,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D018,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Recovery route not CALL_CARRIER,,,dispatchGate blocks,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D019,P0,dispatch,Dispatch / validateDispatch,All,Queue rules,Queue tick concurrency,,,No dual-dispatch same claim,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
D020,P2,dispatch,Dispatch / validateDispatch,All,Queue rules,Plan capacity soft limit,,,Per subscription config,,,vitest_agents,npm run agents,planned,carrier adapter + agents tests,
H001,P0,handoff,Squad,All,Multi-agent handoff,IVR → Claims on first human word,,,Immediate handoff,,,eval_conversation,,planned,squad architecture,
H002,P0,handoff,Squad,All,Multi-agent handoff,Claims → Resolution on paid outcome,,,Resolution_Closer fires webhook,,,eval_conversation,,planned,squad architecture,
H003,P0,handoff,Squad,All,Multi-agent handoff,Claims → Escalation on x-ray doc,,,No timeline commitment,,,eval_conversation,,planned,squad architecture,
H004,P0,handoff,Squad,All,Multi-agent handoff,Rep transfer — re-intro Stage 1,,,Context preserved,,,eval_conversation,,planned,squad architecture,
H005,P1,handoff,Squad,All,Multi-agent handoff,No duplicate full disclosure,,,Claims intro only once,,,eval_conversation,,planned,squad architecture,
H006,P0,handoff,Squad,All,Multi-agent handoff,Reference survives handoff,,,Same ref in webhook,,,eval_conversation,,planned,squad architecture,
H007,P1,handoff,Squad,All,Multi-agent handoff,Hang-up during handoff,,,Partial transcript processed,,,eval_conversation,,planned,squad architecture,
H008,P0,handoff,Squad,All,Multi-agent handoff,Escalation_Closer 75+ day override,,,Human follow-up flag,,,eval_conversation,,planned,squad architecture,
H009,P0,handoff,Squad,All,Multi-agent handoff,Resolution_Closer read-back amounts,,,Confirmed before close,,,eval_conversation,,planned,squad architecture,
H010,P0,handoff,Squad,All,Multi-agent handoff,Squad end-to-end S020 equivalent,,,All four agents,,,eval_conversation,,planned,squad architecture,
H011,P0,handoff,Squad,All,Multi-agent handoff,Claims denies settlement → Resolution,,,No partial accept,,,eval_conversation,,planned,squad architecture,
H012,P0,handoff,Squad,All,Multi-agent handoff,IVR timeout before human,,,Never reaches Claims,,,eval_conversation,,planned,squad architecture,
H013,P1,handoff,Squad,All,Multi-agent handoff,Supervisor requested → Escalation,,,Correct closer,,,eval_conversation,,planned,squad architecture,
H014,P1,handoff,Squad,All,Multi-agent handoff,COB unresolved → Escalation,,,Not Resolved,,,eval_conversation,,planned,squad architecture,
H015,P0,handoff,Squad,All,Multi-agent handoff,Structured collectrx payload present,,,High-trust outcome path,,,eval_conversation,,planned,squad architecture,
P001,P0,post_call,Backend / outcome processor,All,Transcript & webhook,RESOLVED without reference,,,ESCALATED (financial gate),,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P002,P0,post_call,Backend / outcome processor,All,Transcript & webhook,RESOLVED with reference ≥4 chars,,,RESOLVED,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P003,P0,post_call,Backend / outcome processor,All,Transcript & webhook,Structured payload present,,,Trust structured,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P004,P0,post_call,Backend / outcome processor,All,Transcript & webhook,pending adjudication keywords,,,PENDING not APPROVED,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P005,P0,post_call,Backend / outcome processor,All,Transcript & webhook,carrier_block in transcript,,,CARRIER_BLOCK protocol,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P006,P0,post_call,Backend / outcome processor,All,Transcript & webhook,automated call phrase,,,Block signal,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P007,P1,post_call,Backend / outcome processor,All,Transcript & webhook,paid + no check number,,,Pending verification,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P008,P0,post_call,Backend / outcome processor,All,Transcript & webhook,denied + code in text,,,DENIED + code extracted,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P009,P0,post_call,Backend / outcome processor,All,Transcript & webhook,not in system,,,Not DENIED,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P010,P1,post_call,Backend / outcome processor,All,Transcript & webhook,empty transcript,,,Safe non-terminal,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P011,P0,post_call,Backend / outcome processor,All,Transcript & webhook,duplicate webhook,,,Idempotent,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P012,P0,post_call,Backend / outcome processor,All,Transcript & webhook,PHI in transcript scrubbed,,,No PHI persisted,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P013,P0,post_call,Backend / outcome processor,All,Transcript & webhook,conflated patient names,,,Do not auto-RESOLVE,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P014,P0,post_call,Backend / outcome processor,All,Transcript & webhook,partial payment mentioned,,,Pending not Resolved,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P015,P0,post_call,Backend / outcome processor,All,Transcript & webhook,90+ days in transcript,,,Escalate path,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P016,P1,post_call,Backend / outcome processor,All,Transcript & webhook,recording deleted post-call,,,Compliance,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P017,P2,post_call,Backend / outcome processor,All,Transcript & webhook,confidence gate + appeal deadline,,,Metadata captured,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P018,P1,post_call,Backend / outcome processor,All,Transcript & webhook,wrong outcome keyword order,,,Ladder order correct,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P019,P0,post_call,Backend / outcome processor,All,Transcript & webhook,legacy carrier_block string,,,Detected,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P020,P0,post_call,Backend / outcome processor,All,Transcript & webhook,bot activity detected,,,CARRIER_BLOCK,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P021,P1,post_call,Backend / outcome processor,All,Transcript & webhook,claim paid regex variant,,,CLAIM_PAID,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P022,P1,post_call,Backend / outcome processor,All,Transcript & webhook,benefits exhausted,,,MAX_BENEFITS,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P023,P2,post_call,Backend / outcome processor,All,Transcript & webhook,waiting period not met,,,DENIED reason,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P024,P1,post_call,Backend / outcome processor,All,Transcript & webhook,webhookOutcomeResolver fallback,,,Structured path,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P025,P1,post_call,Backend / outcome processor,All,Transcript & webhook,recovery loop transition,,,Correct claim status,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P026,P2,post_call,Backend / outcome processor,All,Transcript & webhook,desk queue broadcast,,,UI update,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P027,P1,post_call,Backend / outcome processor,All,Transcript & webhook,audit log entry,,,PHI_TOKEN_RESOLVED logged,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P028,P2,post_call,Backend / outcome processor,All,Transcript & webhook,guardrail audit outbox,,,Async write,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P029,P2,post_call,Backend / outcome processor,All,Transcript & webhook,EMR sync on resolve,,,Outbox only when configured,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
P030,P2,post_call,Backend / outcome processor,All,Transcript & webhook,analytics KPI auth rate,,,repName or ref,,,vitest_transcript,tests/outcome (to add),planned,outcome processor + webhook,
X001,P0,ops,Operations,All,Pilot & production,First pilot call human-reviewed,,,No auto-trust dashboard,,,manual_pilot,,planned,go-live checklist,
X002,P1,ops,Operations,All,Pilot & production,SendGrid password reset,,,Email delivered,,,manual_pilot,,planned,go-live checklist,
X003,P0,ops,Operations,All,Pilot & production,VAPI_WEBHOOK_SECRET missing prod,,,Server refuses start,,,manual_pilot,,planned,go-live checklist,
X004,P1,ops,Operations,All,Pilot & production,Sentry test error,,,Event received,,,manual_pilot,,planned,go-live checklist,
X005,P1,ops,Operations,All,Pilot & production,health/ready 503,,,Uptime alert,,,manual_pilot,,planned,go-live checklist,
X006,P0,ops,Operations,All,Pilot & production,CSV import → queue → dial,,,E2E pilot path,,,manual_pilot,,planned,go-live checklist,
X007,P1,ops,Operations,All,Pilot & production,CSP no violations on dashboard,,,Browser console clean,,,manual_pilot,,planned,go-live checklist,
X008,P1,ops,Operations,All,Pilot & production,Stripe test webhook,,,Billing event,,,manual_pilot,,planned,go-live checklist,
X009,P2,ops,Operations,All,Pilot & production,Fly secret sync dry run,,,Keys listed,,,manual_pilot,,planned,go-live checklist,
X010,P0,ops,Operations,All,Pilot & production,Shadow mode 20 calls,,,100% human sign-off,,,manual_pilot,,planned,go-live checklist,
CX-SL-01,P1,conversation,Claims_Agent,Sun Life,Carrier-specific,Electronic resubmit 365d window,,,Resubmit path captured,,,eval_conversation,,planned,carrier adapter,
CX-SL-02,P0,ivr,IVR_Navigator,Sun Life,Carrier-specific,Group number IVR entry,,,Digits individually,,,ivr_research_call,,planned,carrier adapter,
CX-CL-01,P1,conversation,Claims_Agent,Canada Life,Carrier-specific,providerConnect before voice,,,Portal attempt logged,,,eval_conversation,,planned,carrier adapter,
CX-CL-02,P0,conversation,Claims_Agent,Canada Life,Carrier-specific,Plan number + pound,,,IVR hint validated,,,eval_conversation,,planned,carrier adapter,
CX-MF-01,P0,conversation,IVR_Navigator,Manulife,Carrier-specific,English then benefits menu,,,IVR path,,,eval_conversation,,planned,carrier adapter,
CX-MF-02,P0,conversation,Claims_Agent,Manulife,Carrier-specific,Hostile to automation history,,,CARRIER_BLOCK risk,,,eval_conversation,,planned,carrier adapter,
CX-GS-01,P0,conversation,IVR_Navigator,Green Shield Canada,Carrier-specific,Provider inquiries menu,,,IVR path,,,eval_conversation,,planned,carrier adapter,
CX-GS-02,P0,conversation,Claims_Agent,Green Shield Canada,Carrier-specific,Certificate number auth,,,Tokenized ID only,,,eval_conversation,,planned,carrier adapter,
CX-RBC-01,P0,conversation,IVR_Navigator,RBC Insurance,Carrier-specific,Group benefits submenu,,,IVR path,,,eval_conversation,,planned,carrier adapter,
CX-RBC-02,P0,conversation,Claims_Agent,RBC Insurance,Carrier-specific,Block after robot refusal,,,Suspend RBC,,,eval_conversation,,planned,carrier adapter,
CX-TA-01,P0,conversation,Claims_Agent,TELUS AdjudiCare,Carrier-specific,TPA from group prefix,,,identifyTelusPlan,,,eval_conversation,,planned,carrier adapter,
CX-TA-02,P1,conversation,Claims_Agent,TELUS AdjudiCare,Carrier-specific,Tx23 bypass when supported,,,No voice if electronic OK,,,eval_conversation,,planned,carrier adapter,
CX-TA-03,P0,conversation,Claims_Agent,TELUS AdjudiCare,Carrier-specific,Min 21 day wait,,,Dispatch gate,,,eval_conversation,,planned,carrier adapter,
CX-TA-04,P1,conversation,Claims_Agent,TELUS AdjudiCare,Carrier-specific,Beneva/La Capitale ivrAlias,,,Correct spoken name,,,eval_conversation,,planned,carrier adapter,
