Practice Name,Owner / Principal (likely),Dentists on staff,Address,City,Postal Code,Segment,Suggested Tier,General Email (to enrich),Outreach Status
Fernbank Dental,Dr. Hanan Shaaban,Dr. Hanan Shaaban,5373 Fernbank Rd Unit c1,Stittsville,K2S 1B6,Prime,Core,,
JNH Ottawa Glebe Dental,Dr. Khaled Hashem,Dr. Khaled Hashem,1375 Baseline Rd,Ottawa,K2C 3G1,Prime,Core,,
World Exchange Dental,Dr. Alex Wakter,Dr. Alex Wakter,111 Albert St. Suite 114,Ottawa,K1P 1A5,Prime,Core,,
U Dental Centre,Dr. Ahmed Sharaf,Dr. Ahmed Sharaf,1537 Merivale Road Unit 1,Ottawa,K2G 3J3,Prime,Core,,
Dr. Michael Iwanoff,Dr. Michael Iwanoff,Dr. Michael Iwanoff,1460-220 Laurier Ave. West,Ottawa,K1P 5Z9,Prime,Core,,
Westboro Station Dental,Dr. Daniel Hwang,Dr. Daniel Hwang,599 Byron Street,Ottawa,K2A 4C4,Prime,Core,,
St. Laurent Dental Centre,Dr. Atul Joshi,"Dr. Atul Joshi, Dr. David George Campbell, Dr. Harald K. D. Korner, Dr. Margaret Jo-Anne Matheson",1200 St. Laurent Blvd. Suite 203,Ottawa,K1K 3B8,Group,Growth,,
Wellspring Dental,Dr. Line Fournier,"Dr. Line Fournier, Dr. Meriam Saboor",2668 Alta Vista Dr Suite 204,Ottawa,K1V 7T4,Prime,Core,,
Bells Corner Family Dentistry,Dr. Farifteh Haeri,Dr. Farifteh Haeri,1956 Robertson Road,Ottawa,K2H 5B9,Prime,Core,,
Sparks Dental Clinic,Dr. David Vernon Craig,"Dr. David Vernon Craig, Dr. Tanya Tatjana Bracanovich",240 Sparks St. Level C1,Ottawa,K1P 6C9,Prime,Core,,
Dr. Agnes Laboncz,Dr. Agnes Laboncz,"Dr. Agnes Laboncz, Kinga Gyongyi Baskai",356B Woodroffe Ave,Ottawa,K2A 3V6,Prime,Core,,
